Ticker,Name,Price
RAT,Rathbone Brothers,2337
RCP,RIT Capital Partners,1934
RDW,Redrow,495.7
RHIM,RHI Magnesita NV,3973
RMG,Royal Mail,283.65
RNK,Rank Group (The),145.5
ROR,Rotork,243.05
RPC,RPC Group,659.8
RSE,Riverstone Energy Limited,1078
RSW,Renishaw,3922
RTN,Restaurant Group (The),147.1
SAFE,Safestore Holdings,522.25
SAGA,Saga,103.6
SBRE,Sabre Insurance Group,268
SCIN,Scottish Investment Trust (the),769
SCT,Softcat,575.5
SDP,Schroder Asiapacific Fund,393.5
SDRY,Superdry,482.8
SEQI,Sequoia Economic Infrastructure Income Fund,111.75
SGC,Stagecoach Group,135.7
SHB,Shaftesbury,831.5
SHI,SIG,111.95
SMP,St Modwen Properties,406.6
SMWH,WH Smith,1779.5
SNN,Sanne Group,555.5
SNR,Senior,190.25
SOPH,Sophos Group,366.8
SPD,Sports Direct International,247.45
SPT,Spirent Communications,115.1
SRP,Serco Group,99.65
SSON,SMITHSON INVESTMENT TRUST PLC ORD 1P,1006.5
SSPG,SSP Group,649.8
STOB,Stobart Group,149.4
SVS,Savills,715.25
SXS,Spectris,2209
SXX,Sirius Minerals,21.1
SYNC,Syncona,268
SYNT,Synthomer,354
TALK,TalkTalk Telecom Group,114.25
TATE,Tate & Lyle,667
TBCG,TBC Bank Group,1479
TCAP,TP Icap,306.9
TED,Ted Baker,1560
TEM,Templeton Emerging Markets Investment Trust,682
TEP,Telecom plus,1470
TIFS,Ti Fluid Systems Ord 1p Wi,161.85
TLW,Tullow Oil,189.3
TMPL,Temple Bar Investment Trust,1160
TPK,Travis Perkins,1075.5
TRIG,The Renewables Infrastructure Group,113.5
TRY,TR Property Investment Trust,363.5
UDG,UDG Healthcare,603.25
UKCM,UK Commercial Property Trust,83.1
UKW,Greencoat UK Wind,128
ULE,Ultra Electronics Holdings,1299.5
UTG,Unite Group,812.25
VCT,Victrex,2260
VEIL,Vietnam Enterprise Investments,446
VOF,VinaCapital Vietnam Opp. Fund,331
VSVS,Vesuvius,491.1
VVO,Vivo Energy,120.61
WEIR,Weir Group,1289
WIZZ,Wizz Air Holdings,2792
WKP,Workspace Group,818.75
WMH,William Hill,161.53
WPCT,Woodford Patient Capital Trust,82.8
WTAN,Witan Investment Trust,971.5
WWH,Worldwide Healthcare Trust,2405
